שם התהליך / הקורס	סוג	קהל יעד	פורמט	מהות / תיאור	מחיר נוכחי	סטטוס	מקור
לצאת מהמטריקס	סדנת היכרות	פתוח לקהל הרחב	מפגש חווייתי פרונטלי (פעמים בשנה) ודיגיטלי בשאר הזמן	היכרות ראשונית עם שיטת המטאיזם וכלי פרקטי לחוסן וביטחון/מלכות	188 ₪ 23.10 היכל התרבות (חינם בדיגיטל)	פעיל	https://www.tatmuda.com/product-category/חנות-מרחב-מודעות/קורסים/
אהבה היא בחירה	סדנת היכרות	פתוח לקהל הרחב	מפגש חווייתי	עוסק במכניקת האהבה ובהזמנה לזוגיות תומכת ומיטיבה	0	מושהה	https://www.tatmuda.com/
למשוך בחוטים	סמינר דגל	כניסה ללימודי המטאיזם	סמינר פרונטלי (פעמים בשנה) ודיגיטלי בשאר הזמן	לימוד מתודולוגיית המטאיזם וארגז הכלים המטאיסטי	1600	שער הכניסה לכל תהליכי העומק	https://www.tatmuda.com/mindgym2026/
חדר כושר לתודעה	מסגרת תרגול מתמשכת, מדי חודש עובדים בנושא אחר. הכל דיגיטלי. למעט פעם בחודש מפגש תרגול עם אלימור בכפ"ס	תלמידים/ות המעוניינים לתרגל את הכלים ולהפוך את המטאיזם לאורח חיים	מנוי מתחדש (שנה 1-6)	תרגול תודעתי שוטף ועבודה מתמשכת על דפוסים ותכנותים	389 ₪ לחודש	מנוי מתחדש	https://www.tatmuda.com/mindgym2026/
מרחב הכ״ח - שנה ראשונה	תהליך עומק	פתוח בהתאם להתאמה; שלב מקדים במסלול המקצועי	תהליך קבוצתי בן 28 מפגשים (כ"ח) מדי שבוע בקבוצות אינטימיות בארץ ובזום	תהליך התפתחות עמוק לחיבור לכוחות פנימיים, אהבה עצמית ותכנות מחדש של דפוסים ואורח חיים	16,200 ₪	פעיל - 3 מחזורים בשנה	https://www.tatmuda.com/how-it-works1/how-it-works/
מרחב מנהיגות - שנה שניה	תהליך מתקדם	בוגרי מרחב הכ״ח	תהליך קבוצתי בן 18 מפגשים , סיום בסופש מנהיגות	שלב התפתחות אישי ומקצועי בדרך למסלול המטפלים	16,200 ₪	פעיל / מופיע באתר	https://www.tatmuda.com/how-it-works1/how-it-works/
מסלול מטפלים - שנה שלישית	תהליך מקצועי	לאחר מרחב הכ״ח ומרחב מנהיגות	קורס מקצועי	לימודי טיפול בתפישת המטאיזם; בסיום תעודת הסמכה משותפת של מרחב מודעות ומכללת רידמן	16,200 ₪	פעיל	https://www.tatmuda.com/product/metaplim/
הנחיית קבוצות - שנה רביעית	הכשרה מקצועית מתקדמת	מתקדמים במסלול המקצועי	קורס / הכשרה	הכשרה להנחיית קבוצות במרחב ובשיטת המטאיזם, הסופם הופכים למנחים-שותפים במרחב מודעות	16,200 ₪	מופיע באתר	https://www.tatmuda.com/
מיני-קורס לגלות את הייעוד	אתגר בן 3 מפגשי זום	קהל חדש המתעניין בטיפול כמקצוע	מיני-תהליך בן 3 זומים ולווי בוואטסאפ	הובלה (משפך) למסלול האינטגרטיבי	18 ₪ בתרומה	פעיל - 2 מחזורים בשנה	618
	הכשרה מקצועית "מקופסלת"	קהל חדש המעוניין להפוך את הטיפול למקצוע	הכשרה משולבת	שלוש שנים (א+ב+ג) מקופסלות בתוך שנתיים אינטסניביות, בהובלת דבורה קרוב, מנהלת מסלול מטפלים במרחב מודעות ומכללת רידמן	16,200X3 ₪	פעיל - 2 מחזורים בשנה	617
	אתגר בן 3 מפגשי זום	אנשים עם אתגרים בריאותיים	מיני-תהליך בן 3 זומים ולווי בוואטסאפ	הובלה למרחב בריאות	18 ₪ בתרומה	פעיל - 4 מחזורים בשנה
כ״ח הבריאות	תהליך עומק ממוקד בריאות	אנשים עם מחלות ואתגרים בריאותיים	תהליך עומק. שלב 1: 12 מפגשים שלב המשך: 16 מפגשים	תהליך בהובלת נורית כהן, מנהלת תחום הבריאות במרחב מודעות	16,200 ₪	פעיל / מופיע באתר	https://www.tatmuda.com/
מיני-קורס הורות	אתגר בן 3 מפגשי זום	הורים	מיני-תהליך בן 3 זומים ולווי בוואטסאפ	הובלה למרחב הורות מודעת	18 שח בתרומה	פעיל / עמוד קיים	https://www.tatmuda.com/webinar-parents/
מרחב הורות מודעת	תוכנית עומק	הורים	תהליך עומק. שלב 1: 12 מפגשים שלב המשך: 16 מפגשים	תהליך בהובלת מאיה ורדימון, מנהלת תחום החינוך וההורות במרחב מודעות	16,200 ₪	פעיל / עמוד קיים	https://www.tatmuda.com/parents/
פרוטוקול שפע	פרוטוקול	קהל חדש +ותיק	מרתון בן 7 אינטסניביים מדי ערב בזום+ לווי בן שבועיים לאחר מכן	צופן המבוסס על 7 חוקים אוניברסליים, לשכפול ויצירת שפע ולהרחבת היכולת להכיל שפע	1,800 ₪ (כחצי מחיר לתלמידים בתהליכי עומק נוספים במרחב)	אחת לשנה בחודש יולי	https://www.tatmuda.com/shop/
פרוטוקול בריאה	פרוטוקול	קהל חדש +ותיק	מרתון בן 7 אינטסניביים מדי ערב בזום+ לווי בן שלושה שבועות לאחר מכן	עבודה על דימוי עצמי וחיבור לגוף	1,800 ₪ (כחצי מחיר לתלמידים בתהליכי עומק נוספים במרחב)	אחת לשנה בחודש מרץ	https://www.tatmuda.com/metatheism/metatheism-method/
טיפולים אישיים בשיטה	טיפול אישי	פונים לטיפול	טיפול אישי / סדרת טיפולים	כרטיסיית חמישה טיפולים בשיטת מטאיזם באמצעות מטפלי המרחב המסומכים/ כרטיסית מומחה - שלושה טיפולים ע"י מנהלי תחומים במרחב מודעות	2,000 ₪	פעיל	https://www.tatmuda.com/how-it-works1/how-it-works/
המשחק	תוכנית חינוכית	בתי ספר יסודיים / מערכת החינוך	תוכנית חינוכית	תוכנית חינוכית שפותחה במרחב; האתר מציג רציונל פסיכולוגי ומציין שהיא נלמדת בבתי ספר יסודיים	פעיל / עמוד קיים		https://www.tatmuda.com/metatheism/educatuiion/the-game/
