חדר כושר לתודעה - רשימת התרגולים במעגל השנה	חודש
	תרגול / נושא	ליבת העבודה
ינואר	אינטגרציה	חיבור בין קולות וניגודים, שקט פנימי
פברואר	חוסן / אל־מורא	פחד, ביטחון, פעולה לצד הפחד
מרץ	לצאת לאור	חשיפה, נראות, אישור עצמי
אפריל	רווחה	שקט, מנוחה, מרחב פנימי
מאי	אהבה	אהבה עצמית, זוגיות, פתיחת הלב
יוני	מיניות	תשוקה, קבלה, גוף, אינטימיות
יולי	הורות מודעת	ילדים - כשיקופים, ריפוי בין־דורי, להיות הורים מיטביים לעצמנו ולילדנו
אוגוסט	הפתעה	לומדים להתרגש מהבלתי ידוע ולתכנת את עצמנו להפתעות
ספטמבר	התחלות	דף חדש, זהות חדשה, לוח חזון
אוקטובר	אמונה	אמונה כאימון, התמדה, אור בחשיכה
נובמבר	הגשמה	אזור הגאונות, שגרה, מימוש
דצמבר	שפע	קבלה, הודיה, כסף, תודעת שפע
