קטגוריה	השאלה	התשובה של פריידי	תאריך	סטטוס מקור
שפע / כסף	למה אני לא מצליחה למשוך את השפע שאני רוצה?	אני מחזירה לך בשאלה: האם את מרגישה ראויה? שווה? האם את חיה את החיים בתחושה שמגיע לך? ערך עצמי וראויות זה הבסיס לשפע.	05.10.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
שפע / הישרדות	איך אפשר להיות באנרגיה גבוהה כשהבנק מתקשר ומלחיץ?	אי אפשר. חייבים דחוף לטפל בבנק, כלומר, לטפל בשפע הפנימי שלך. הרי הבנק הוא השיקוף למצב הערך העצמי שלך. ככל שתעשי עבודה על ערך עצמי, הבנק ילך ויחייך איך בהתאמה. את ראויה לזה!	05.10.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
הצלחה / ייאוש	איך להתמודד עם חוסר הצלחה מתמשכת שהופכת לייאוש?	אין ייאוש בעולם! (ר' נחמן מברסלב) זה לא שאני לא מבינה את תחושת האכזבה המתמשכת, אבל אולי דווקא שם קבור הכלב. אולי את מכורה לאכזבה? האם באמת עשית כל שיכולת - בתוכך? האם צרבת את המנגנון הזה? האם הסכמת לחקור אותו לעומק? לוותר עליו באמת באמת? אני לא מדברת על הדבר שאת רוצה. זה ברור לי שאת רוצה. אני מדברת על הפער שמפריד בינך ובין ההצלחה.	05.10.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
אמונה	איך לומדים להיות באמונה ולהתמיד בדבר?	אמונה מלשון אימון. זוהי מיומנות נרכשת. ככל שתעבדי עליה ותבחרי לדבוק באמונה - את תראי איך היא הופכת לטבע שני לך.	05.10.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
אמונה	איך אפשר להיות באמונה שלמה שהכל לטובתי?	כשאת לומדת להתמסר לרוח ומפסיקה לדרוש הוכחות מהמציאות כל הזמן, את תתחילי לראות בכל מה שקורה, אפילו בכאב ובאתגר, את היד האלוהית שמפסלת אותך לאור. או במילותיו של ר' נחמן מברסלב: "מי שמאמין שכל מאורעותיו לטובה, אין לו שום ייסורים בעולם."	05.10.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
משיכת חוטים	איך מושכים חוט?	שלושה שלבים למתודלוגיה המטורפת ליצירת כל מציאות: 1. לתפוס את עצמנו כיישות אנרגטית (סוויצ' קטן בראש) 2. לחקור במודל התמרה + מודל יהלום ולהבין מדוע ה"צופה" שלך, האלוהים בתוכך בחר למשוך חוט אחר, להלן המציאות שנמצאת בחייך כרגע 3. לוותר על הפער שעלה במודל יהלום, ובמקומו לחווט את החוט (המציאות) שאת רוצה.	05.10.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
מודל יהלום / תת מודע	איך לחקור או לאתגר את התת מודע שלי לשאלות שאולי אני לא מעזה לשאול?	במקום שאלות, התחילי במודל יהלום. מודל אסוציאציות שיקח אותך לעומקי תת המודע, כל פעם לנ.צ הרלוונטי אותו את צריכה לזהות.	05.10.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
משיכת חוטים / קולקטיב	האם יש משהו שהוא מעבר לכוחותי למשוך?	אכן. כל מה שקשור בקולקטיב = זה למעשה ייצוג של מסה קריטית. כלומר לא מספיק משק כנפיים של פרפר אחד כדי לייצר הוריקן (או שלום) אבל מליוני פרפרים ביחד לגמרי יכולים לייצר זאת. ובשביל זה אנחנו במרחב מודעות שואפים כל הזמן להגיע למסה.... שם יקרה השינוי הגדול. ובכל זאת, תמיד הדרך להתחיל: היא בקטן. בתוכי. בתוכך.	05.10.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
בחירה / רוח	איך אני מזהה מתי זה מחבל פנימי שהורס לי ומתי זה רצון הבורא?	שאלת השאלות! אני בדיוק מתמודדת עם שאלה דומה בכל הקשור לשיתוק של ג'ויה החתולה שלי. מנסה לאתר את המקומות המשותקים שבי ולתקן אותם, ובו זמנית מזכירה לעצמי שיתכן שזה רצון הרוח, ועלי פשוט לשחרר... הקו המוביל שלי הוא תמיד לחקור ולבדוק בתוכי, ובו זמנית לשחרר ולסמוך על הבורא.	05.10.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
שינוי חוזה	למה אני עדין בחוזה הישן?	כמי שמתורגלת בשינוי חוזה וערכה כבר יותר מ10 שינויים בחוזה שלי לבד, אני רגילה שתוך 8 ימים זה מתעדכן. והפעם..... הסעיף הישן משתולל ביתר שאת כבר שלושה שבועות. אני מסבירה לעצמי שכנראה הסעיף החדש שבחרנו לחתום כל כך גדול ומשמעותי, ומשהו בנו עדין לא מצליח לעבור אליו. להאמין לו. להיות הוא. ועל כן אנחנו מתעכבות בדרך. אבל המשיכי לדבוק בחוזה החדש! וברגע הנכון פשוט נתעורר בו... אני משוכנעת בזה.	05.10.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
