שיחות בגן עדן | רדיו 103FM	410
	רקע קצר	תאריך עלייה	מקור
עושים שלום	פרק על הקולות המנוגדים בתוכנו, אינטגרציה בין חלקי המוח והדרך לייצר שלום ושקט פנימי.	45664	https://www.tatmuda.com/the-content-directory/podcast-heaven/
הקול בראש	על הרעש של המיינד, הקולות הפנימיים שמנהלים אותנו והיכולת להנמיך אותם ולפעול ממקום מאוזן יותר.	45671	https://www.tatmuda.com/the-content-directory/podcast-heaven/
אמונה	חקירה של אמונה וספק: איך גם ספק הוא אמונה, וכיצד האמונות שאנחנו מחזיקים משפיעות על המציאות והבחירות שלנו.	45678	https://www.tatmuda.com/the-content-directory/podcast-heaven/
לאן הולכים מכאן?	שיחה על התפתחות, התעלות מעל התכנות האישי והדרך לצאת מה'מכתוב' אל עבר בחירה וגרסה חדשה.	45685	https://www.tatmuda.com/the-content-directory/podcast-heaven/
חוסן באי ודאות	על התמודדות עם עולם משתנה, פחד וחוסר ודאות, ובניית חוסן פנימי שאינו תלוי במה שקורה בחוץ.	45692	https://www.tatmuda.com/the-content-directory/podcast-heaven/
הפחד מטוב	למה אנחנו מתקשים להכיל אושר, הצלחה ואהבה לאורך זמן, ואיך מזהים את הפחד שמופיע דווקא כשהכול מתחיל להסתדר.	45699	https://www.tatmuda.com/the-content-directory/podcast-heaven/
איך להפוך לגרסה המשודרגת של עצמך?	על הגרסה החדשה שכבר קיימת בתוכנו, שינוי זהות והסכמה להתגלות בלי להיאבק כדי 'להפוך' למישהו אחר.	45706	https://www.tatmuda.com/the-content-directory/podcast-heaven/
לצאת לאור - בין הסתרה לחשיפה	פרק על פחד מחשיפה, הסתרת האור והכישרון שלנו, והמעבר מהצטמצמות להסכמה להיראות.	45713	https://www.tatmuda.com/the-content-directory/podcast-heaven/
נפש בריאה בגוף בריא	שיחה פתוחה על הגוף, שינויי גיל, קבלה עצמית והקשר בין תודעה, דימוי עצמי ובריאות.	45720	https://www.tatmuda.com/the-content-directory/podcast-heaven/
למי קראת פלא? על דימוי עצמי גבוה	המשך לעיסוק בגוף ובריאות, עם דגש על דימוי עצמי גבוה, ערך עצמי והיכולת לראות בעצמנו פלא.	45727	https://www.tatmuda.com/the-content-directory/podcast-heaven/
אתם המטפלים הכי טובים של עצמכם	על הכוח של כל אדם להפוך לשותף פעיל בתהליך הריפוי שלו ולהשתמש בכלים תודעתיים לעבודה עצמית.	45741	https://www.tatmuda.com/the-content-directory/podcast-heaven/
בוקר טוב - שגרת בוקר כמתכון לרווחה	איך שגרת הבוקר משפיעה על מצב הרוח, הרווחה והאופן שבו היום כולו מתפתח, ומה אפשר לשנות כבר מהבוקר.	45749	https://www.tatmuda.com/the-content-directory/podcast-heaven/
משעבוד - לגאולה	פסח כהזדמנות לצאת מה'מֵצרים' האישיים: דפוסים, פחדים והרגלים שמחזיקים אותנו בעבדות פנימית.	45755	https://www.tatmuda.com/the-content-directory/podcast-heaven/
לפתוח את הלב לאהבה	מה מונע מאיתנו לאהוב, למה נמשכים לבלתי מושג והאם אפשר ללמוד לפתוח את הלב לאהבה בריאה ונגישה.	45783	https://www.tatmuda.com/the-content-directory/podcast-heaven/
אהבה עצמית לפני הכול	צלילה לנושא האהבה העצמית: למה קשה לנו לאהוב את עצמנו, ואיך היחסים שלנו עם עצמנו מקרינים החוצה.	45790	https://www.tatmuda.com/the-content-directory/podcast-heaven/
הגאולה שבפנים	פרק על גאולה כתהליך פנימי ועל האפשרות ליצור שינוי בעולם דרך עבודה תודעתית וחיבור פנימה.	45804	https://www.tatmuda.com/the-content-directory/podcast-heaven/
על תשוקה ומיניות	שיחה על מיניות מודעת, תשוקה והאהבה כפי שהיא מתגלמת בגוף, והקשר בין חיבור לעצמנו לבין אינטימיות.	45812	https://www.tatmuda.com/the-content-directory/podcast-heaven/
למשוך בחוטים - עם דנה בן שלומי	שיחת עומק עם דנה בן שלומי על שיקוף, סיפור אישי ועבודה תודעתית בסגנון 'למשוך בחוטים'.	45818	https://www.tatmuda.com/the-content-directory/podcast-heaven/
שפע עליך - הקוד המטאפיזי לשפע	פריידי משתפת ב'פרוטוקול שפע' ובתפיסה שלפיה שפע הוא היכולת להכיל טוב — לא רק כסף אלא גם אהבה, בריאות והגשמה.	45825	https://www.tatmuda.com/the-content-directory/podcast-heaven/
מרחב מוגן	פרק מתקופת איום ואי ודאות עם כלים של נשימה, אהבה והתכנסות פנימה כדי ליצור תחושת ביטחון ושקט תודעתי.	45826	https://www.tatmuda.com/the-content-directory/podcast-heaven/
ריפוי בינדורי	עם מאיה ורדימון על הורות מודעת וריפוי בין־דורי: כיצד עבודה של ההורה על עצמו יכולה לשנות את הדינמיקה והחוויה של הילדים.	45853	https://www.tatmuda.com/the-content-directory/podcast-heaven/
לרצות נכון	על הרצון כמצפן וכשער לשפע, ועל היכולת להסכים לרצות בלי אשמה, בושה או תחושה שזה אנוכי.	45860	https://www.tatmuda.com/the-content-directory/podcast-heaven/
אפס מאמץ	על יציאה מסטרס וריצה בלתי פוסקת, ועל מנוחה וקלות ככלים להגשמה, יצירתיות ושלווה.	45874	https://www.tatmuda.com/the-content-directory/podcast-heaven/
גיל המעבר	עם ד"ר ליאת יקיר על גיל המעבר והאפשרות לראות בו לא דעיכה אלא שער חדש ליצירה, קבלה והתחדשות.	45888	https://www.tatmuda.com/the-content-directory/podcast-heaven/
חורבן הבית - על פרידות וגירושין	על כאב של פרידה וגירושין, בניית בית פנימי מחדש והאפשרות לצמוח מתוך קריסה לגרסה חופשייה ומשודרגת.	45895	https://www.tatmuda.com/the-content-directory/podcast-heaven/
עם ישראל מעדכן חוזה תודעה	שיחה על 'חוזה תודעה' אישי וקולקטיבי, ועל האפשרות לעדכן דפוסים של קורבנות ופילוג לכיוון ריבונות, בחירה ועוצמה.	45902	https://www.tatmuda.com/the-content-directory/podcast-heaven/
חודש אלול - תחל שנה וברכותיה	אלול כ'מחנה אימונים של התודעה': חשבון נפש, חקירה פנימית והכנה לשנה חדשה כהזדמנות לקפיצת גדילה.	45909	https://www.tatmuda.com/the-content-directory/podcast-heaven/
סליחה?	לקראת יום הכיפורים: סליחה כדרך חיים וכעבודה פנימית, עם דגש על סליחה עצמית וריפוי החלקים שנפגעו.	45928	https://www.tatmuda.com/the-content-directory/podcast-heaven/
מזל טוב	מהו מזל והאם אפשר להשפיע עליו? פרק על תכנות פנימי, תת־מודע והיכולת לספר לעצמנו סיפור חדש שמייצר מציאות אחרת.	45945	https://www.tatmuda.com/the-content-directory/podcast-heaven/
אובדנות בראי המטאיזם	שיחה רגישה על אובדנות, כאב נפשי והצורך לשבור שתיקה, לזהות סימני מצוקה ולתת תמיכה וכלים למניעה.	45953	https://www.tatmuda.com/the-content-directory/podcast-heaven/
הצורך באישור חיצוני	למה גם אחרי עבודה פנימית אנחנו עדיין מחכים לאישור מבחוץ, ואיך מחזקים סמכות פנימית ואמון בעצמנו.	45958	https://www.tatmuda.com/the-content-directory/podcast-heaven/
כשהמציאות עולה על כל דמיון	על הגשמה כאורח חיים, יציאה מרדיפה אחר היעד והיכולת לחיות את החלום והשפע כבר בתוך השגרה.	45965	https://www.tatmuda.com/the-content-directory/podcast-heaven/
אדם מחפש משמעות	על משמעות, שליחות ואזור הגאונות הטבעי שלנו — והרעיון שהשליחות כבר נמצאת בתוכנו ומבקשת להתגלות.	45972	https://www.tatmuda.com/the-content-directory/podcast-heaven/
